s_adj,age,sex,unit,geo\time	2019M09 	2019M10 	2019M11 	2019M12 	2020M01 	2020M02 	2020M03 	2020M04 	2020M05 	2020M06 	2020M07 	2020M08 
SA,TOTAL,T,PC_ACT,EA18	7.5 	7.4 	7.4 	7.4 	7.4 	7.3 	7.2 	7.4 	7.5 	7.7 	7.9 	: 
SA,TOTAL,T,PC_ACT,EA19	7.5 	7.4 	7.4 	7.4 	7.4 	7.3 	7.2 	7.4 	7.5 	7.7 	7.9 	: 
SA,TOTAL,T,PC_ACT,EE	4.3 	4.1 	4.3 	4.4 	4.7 	4.7 	4.8 	6.0 	7.0 	8.0 	: 	: 
SA,TOTAL,T,PC_ACT,EL	16.9 	16.7 	16.6 	16.4 	16.2 	16.0 	14.3 	15.8 	17.3 	18.3 	: 	: 
SA,TOTAL,T,PC_ACT,ES	14.1 	14.0 	13.8 	13.7 	13.8 	13.6 	14.5 	15.3 	15.4 	15.8 	15.8 	: 
SA,TOTAL,T,PC_ACT,EU27_2007	6.2 	6.2 	6.2 	6.2 	6.2 	: 	: 	: 	: 	: 	: 	: 
SA,TOTAL,T,PC_ACT,EU27_2020	6.6 	6.6 	6.6 	6.5 	6.6 	6.5 	6.5 	6.7 	6.9 	7.1 	7.2 	: 
SA,TOTAL,T,PC_ACT,EU28	6.2 	6.2 	6.2 	6.2 	6.2 	: 	: 	: 	: 	: 	: 	: 
SA,TOTAL,T,PC_ACT,FI	6.9 	6.9 	6.8 	6.8 	6.8 	6.9 	7.0 	7.2 	7.4 	7.6 	7.8 	: 
SA,TOTAL,T,PC_ACT,FR	8.4 	8.3 	8.2 	8.2 	8.0 	7.7 	7.5 	7.8 	6.9 	6.6 	6.9 	: 
SA,TOTAL,T,PC_ACT,HR	6.4 	6.4 	6.4 	6.4 	6.3 	6.2 	6.8 	8.1 	8.9 	8.8 	8.6 	: 
SA,TOTAL,T,PC_ACT,HU	3.5 	3.6 	3.4 	3.4 	3.4 	3.6 	3.7 	4.1 	4.8 	4.9 	: 	: 
SA,TOTAL,T,PC_ACT,IE	4.8 	4.7 	4.7 	4.8 	4.9 	4.9 	5.0 	4.8 	4.8 	5.0 	5.1 	5.2 
SA,TOTAL,T,PC_ACT,IS	3.5 	3.5 	3.6 	3.5 	3.8 	3.9 	3.5 	3.9 	4.5 	4.5 	5.0 	: 
SA,TOTAL,T,PC_ACT,IT	9.7 	9.5 	9.5 	9.6 	9.6 	9.4 	8.5 	7.3 	8.5 	9.3 	9.7 	: 
SA,TOTAL,T,PC_ACT,JP	2.4 	2.4 	2.2 	2.2 	2.4 	2.4 	2.5 	2.6 	2.9 	2.8 	2.9 	: 
SA,TOTAL,T,PC_ACT,LT	6.7 	6.4 	6.5 	6.4 	6.1 	6.3 	6.6 	7.8 	8.5 	8.8 	9.0 	: 
SA,TOTAL,T,PC_ACT,LU	5.5 	5.5 	5.6 	5.6 	5.7 	5.8 	6.5 	7.5 	7.7 	7.7 	7.3 	: 
SA,TOTAL,T,PC_ACT,LV	6.0 	5.8 	5.9 	6.5 	7.0 	7.0 	7.2 	8.2 	8.7 	8.9 	9.0 	: 
SA,TOTAL,T,PC_ACT,MT	3.7 	3.6 	3.6 	3.6 	3.7 	3.5 	3.9 	4.4 	4.5 	4.3 	4.1 	: 
SA,TOTAL,T,PC_ACT,NL	3.5 	3.5 	3.5 	3.2 	3.0 	2.9 	2.9 	3.4 	3.6 	4.3 	4.5 	: 
SA,TOTAL,T,PC_ACT,NO	3.9 	3.8 	3.9 	3.9 	3.7 	3.5 	3.6 	4.1 	4.6 	5.2 	: 	: 
SA,TOTAL,T,PC_ACT,PL	3.1 	3.0 	2.9 	2.9 	3.0 	3.0 	3.0 	3.1 	3.3 	3.3 	3.2 	: 
SA,TOTAL,T,PC_ACT,PT	6.5 	6.5 	6.7 	6.7 	6.8 	6.4 	6.2 	6.3 	5.9 	7.3 	8.1 	: 
SA,TOTAL,T,PC_ACT,RO	4.1 	3.9 	4.0 	4.0 	3.7 	4.3 	4.6 	5.0 	5.1 	5.3 	5.4 	: 
SA,TOTAL,T,PC_ACT,SE	6.7 	6.7 	7.3 	6.6 	7.2 	7.6 	6.8 	7.9 	8.5 	9.2 	9.2 	: 
SA,TOTAL,T,PC_ACT,SI	4.7 	4.4 	4.1 	3.8 	4.2 	4.2 	4.3 	4.7 	4.8 	4.8 	4.7 	: 
SA,TOTAL,T,PC_ACT,SK	5.7 	5.7 	5.6 	5.6 	6.1 	6.1 	5.8 	6.4 	6.5 	6.6 	6.8 	: 
SA,TOTAL,T,PC_ACT,TR	13.9 	13.6 	13.2 	13.1 	12.6 	12.6 	12.9 	13.6 	14.0 	: 	: 	: 
SA,TOTAL,T,PC_ACT,UK	3.7 	3.7 	3.7 	3.7 	3.9 	3.9 	3.8 	3.9 	3.8 	: 	: 	: 
SA,TOTAL,T,PC_ACT,US	3.5 	3.6 	3.5 	3.5 	3.6 	3.5 	4.4 	14.7 	13.3 	11.1 	10.2 	: 
