s_adj,age,sex,unit,geo_time,2019M09,2019M10,2019M11,2019M12,2020M01,2020M02,2020M03,2020M04,2020M05,2020M06,2020M07,2020M08
SA,Y_LT25,F,PC_ACT,AT,,,,,,,,,,,,
SA,Y_LT25,F,PC_ACT,BE,11.8,13.2,13.2,13.2,13.0,13.0,13.0,13.8,13.8,13.8,,
SA,Y_LT25,F,PC_ACT,BG,6.9,7.1,7.2,7.3,10.1,11.2,11.6,14.8,13.1,10.7,9.6,
SA,Y_LT25,F,PC_ACT,CH,8.4,8.2,8.1,7.9,7.2,6.8,7.3,8.2,8.7,8.4,,
SA,Y_LT25,F,PC_ACT,CY,13.8,14.2,14.2,14.2,11.1,11.1,11.1,18.4,18.4,18.4,,
SA,Y_LT25,F,PC_ACT,CZ,5.6,5.9,6.2,5.0,5.3,6.6,8.3,8.3,9.9,10.6,11.8,
SA,Y_LT25,F,PC_ACT,DE,4.7,4.8,5.0,5.2,,,,,,,,
SA,Y_LT25,F,PC_ACT,DK,9.4,9.9,9.9,9.9,,,,,,,,
SA,Y_LT25,F,PC_ACT,EA,15.1,15.1,15.1,15.1,15.5,15.4,15.5,16.6,16.9,17.4,17.4,
SA,Y_LT25,F,PC_ACT,EA18,15.2,15.1,15.1,15.1,15.5,15.4,15.5,16.6,16.9,17.4,17.4,
SA,Y_LT25,F,PC_ACT,EA19,15.1,15.1,15.1,15.1,15.5,15.4,15.5,16.6,16.9,17.4,17.4,
SA,Y_LT25,F,PC_ACT,EE,8.9,7.7,9.6,10.5,9.5,9.1,9.7,12.4,22.2,24.3,,
SA,Y_LT25,F,PC_ACT,EL,36.5,37.5,37.3,34.0,36.8,38.7,33.0,39.0,40.6,42.2,,
SA,Y_LT25,F,PC_ACT,ES,34.3,32.7,31.7,32.0,31.6,31.8,34.5,38.7,40.7,43.2,42.0,
SA,Y_LT25,F,PC_ACT,EU27_2007,13.7,13.4,13.5,13.3,13.6,,,,,,,
SA,Y_LT25,F,PC_ACT,EU27_2020,14.7,14.4,14.5,14.3,14.6,14.7,15.1,16.2,16.9,17.3,17.2,
SA,Y_LT25,F,PC_ACT,EU28,13.7,13.4,13.5,13.4,13.6,,,,,,,
SA,Y_LT25,F,PC_ACT,FI,17.2,17.1,17.1,17.1,17.1,17.2,17.3,17.5,17.8,17.8,17.8,
SA,Y_LT25,F,PC_ACT,FR,18.1,18.6,18.8,18.7,19.4,18.9,19.1,21.8,20.6,20.0,19.6,
SA,Y_LT25,F,PC_ACT,HR,19.1,18.8,18.8,18.8,19.3,19.3,19.3,26.5,26.5,26.5,,
SA,Y_LT25,F,PC_ACT,HU,11.5,12.4,11.5,10.0,10.0,10.5,13.7,15.2,20.4,17.6,,
SA,Y_LT25,F,PC_ACT,IE,10.3,10.0,9.9,10.0,9.9,10.2,11.7,13.6,16.0,18.7,20.5,20.9
SA,Y_LT25,F,PC_ACT,IS,7.9,8.0,7.0,5.9,6.1,6.2,6.2,8.5,8.6,8.5,8.7,
SA,Y_LT25,F,PC_ACT,IT,29.4,30.3,30.3,30.3,,,,,,,,
SA,Y_LT25,F,PC_ACT,LT,9.5,10.4,11.1,11.8,12.9,13.3,13.6,16.7,18.0,18.4,17.3,
SA,Y_LT25,F,PC_ACT,LU,15.7,16.8,17.1,17.9,18.7,18.6,20.5,25.2,26.5,27.0,25.2,
SA,Y_LT25,F,PC_ACT,LV,10.2,11.3,11.5,11.5,11.6,11.4,12.8,14.5,16.0,15.8,15.2,
SA,Y_LT25,F,PC_ACT,MT,7.0,7.0,8.3,8.1,9.1,8.0,7.0,5.0,6.3,5.4,5.1,
SA,Y_LT25,F,PC_ACT,NL,6.5,6.6,6.4,6.0,6.1,6.3,5.9,7.6,8.9,10.1,11.1,
SA,Y_LT25,F,PC_ACT,NO,9.6,9.3,9.4,9.1,9.1,9.1,9.1,10.0,12.0,13.0,,
SA,Y_LT25,F,PC_ACT,PL,8.9,8.3,7.8,7.4,8.3,8.6,9.3,10.9,11.6,11.9,11.5,
SA,Y_LT25,F,PC_ACT,PT,19.6,19.8,22.8,22.0,22.2,22.6,24.2,29.0,24.9,31.0,28.8,
SA,Y_LT25,F,PC_ACT,RO,18.8,16.4,16.4,16.4,16.7,16.7,16.7,,,,,
SA,Y_LT25,F,PC_ACT,SE,20.6,16.9,19.4,18.2,15.8,20.2,18.9,22.1,27.1,28.8,28.7,
