,unit,age,sex,geo,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
113,PC,Y_GE15,F,ES61,21.2,26.8,29.2,32.0,35.5,38.0,37.3,34.5,32.1,28.6,26.9,25.2
114,PC,Y_GE15,F,ES62,13.1,18.5,22.4,25.0,27.4,29.5,29.1,28.4,23.0,21.6,21.0,18.2
115,PC,Y_GE15,F,ES63,26.0,27.4,28.4,36.9,48.0,43.8,36.4,36.5,32.0,29.6,36.3,29.7
116,PC,Y_GE15,F,ES64,28.6,32.1,30.3,27.3,33.4,31.7,35.4,40.1,37.7,37.5,31.6,32.7
117,PC,Y_GE15,F,ES70,18.8,26.5,27.9,29.1,33.3,33.0,33.1,30.6,28.0,26.0,21.4,21.9
118,PC,Y_GE15,F,FI19,7.2,8.4,7.9,7.9,7.7,7.6,8.0,9.4,9.3,8.9,7.6,5.6
119,PC,Y_GE15,F,FI1B,4.6,5.3,6.0,5.4,6.0,6.2,6.5,7.5,7.2,7.8,6.6,6.3
120,PC,Y_GE15,F,FI1C,7.0,8.0,8.4,7.6,6.5,7.9,9.2,9.2,8.9,8.0,7.4,6.2
121,PC,Y_GE15,F,FI1D,8.9,9.7,9.1,8.4,8.5,9.1,9.1,10.1,9.7,9.2,8.0,6.8
122,PC,Y_GE15,F,FI20,,,,,,,,,,,,
123,PC,Y_GE15,F,FR10,6.1,7.3,8.5,7.9,7.6,8.2,9.1,8.4,8.9,8.7,8.4,7.6
124,PC,Y_GE15,F,FRB0,6.2,6.7,6.7,8.7,10.7,10.0,9.8,10.4,10.3,8.3,8.2,8.6
125,PC,Y_GE15,F,FRC1,6.4,7.8,9.1,9.6,8.6,10.9,9.8,8.8,8.3,10.3,8.3,7.5
126,PC,Y_GE15,F,FRC2,9.4,8.6,8.1,8.7,9.1,8.6,8.7,8.7,8.0,6.7,7.5,9.1
127,PC,Y_GE15,F,FRD1,8.0,7.4,8.0,9.1,8.9,8.5,8.2,8.5,8.6,8.3,8.3,7.3
